Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]Ronin::Address,parse,(XXX) -> XXX,(String) -> Address,"def self.parse(address)
      first_or_new(:address => address)
    end"
[s]Ronin::Campaign,targeting,(XXX) -> XXX,((Array<String> or String)) -> Array<Campaign>,"def self.targeting(addr)
      all('addresses.address' => addr)
    end"
[s]Ronin::Campaign,targeting_orgs,(XXX) -> XXX,((Array<String> or String)) -> Array<Campaign>,"def self.targeting_orgs(names)
      all('organizations.name' => names)
    end"
[s]Ronin::Config,load,(?XXX) -> (false or nil or true),((String or Symbol)) -> %bot,"def Config.load(name=nil)
      dir, file = if name then [CONFIG_DIR, ""#{name}.rb""]
                  else         [PATH, 'config.rb']
                  end

      path = File.expand_path(File.join(dir,file))
      require path if File.file?(path)
    end"
[s]Ronin::Config,tmp_dir,(?((Array<String> or File or [ to_str: () -> String ]))) -> String,(String) -> String,"def Config.tmp_dir(sub_path=nil)
      if sub_path
        sub_path = File.expand_path(File.join('',sub_path))
        path     = File.join(TMP_DIR,sub_path)

        FileUtils.mkdir_p(path) unless File.exist?(path)
        return path
      end

      return TMP_DIR
    end"
[s]Ronin::Credential,for_user,(XXX) -> XXX,(String) -> Array<Credential>,"def self.for_user(name)
      all('user_name.name' => name)
    end"
[s]Ronin::Credential,with_password,(XXX) -> XXX,(String) -> Array<Credential>,"def self.with_password(password)
      all('password.clear_text' => password)
    end"
[s]Ronin::EmailAddress,extract,(XXX) { (XXX) -> XXX } -> Array<%any>,(String) -> Array<EmailAddress>,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::EMAIL_ADDR)
        yield parse(scanner.matched)
      end

      return nil
    end"
[s]Ronin::EmailAddress,with_hosts,(XXX) -> XXX,((Array<String> or String)) -> Array<EmailAddress>,"def self.with_hosts(names)
      all('host_name.address' => names)
    end"
[s]Ronin::EmailAddress,with_ips,(XXX) -> XXX,((Array<String> or String)) -> Array<EmailAddress>,"def self.with_ips(ips)
      all('ip_addresses.address' => ips)
    end"
[s]Ronin::EmailAddress,with_users,(XXX) -> XXX,((Array<String> or String)) -> Array<EmailAddress>,"def self.with_users(names)
      all('user_name.name' => names)
    end"
[s]Ronin::EmailAddress,parse,"(([ dump: () -> XXX ] and [ split: (String, Number) -> XXX ])) -> XXX",(String) -> EmailAddress,"def self.parse(email)
      user, host = email.split('@',2)

      user.strip!

      if user.empty?
        raise(""email address #{email.dump} must have a user name"")
      end

      host.strip!

      if host.empty?
        raise(""email address #{email.dump} must have a host name"")
      end

      return first_or_new(
        :user_name => UserName.first_or_new(:name => user),
        :host_name => HostName.first_or_new(:address => host)
      )
    end"
[s]Ronin::EmailAddress,from,"(([ dump: () -> XXX ] and [ split: (String, Number) -> XXX ] and [ to_s: () -> String ])) -> XXX",([ to_s: () -> String ]) -> EmailAddress,"def self.from(email)
      email = case email
              when URI::MailTo then email.to
              else                  email.to_s
              end

      return parse(email)
    end"
[s]Ronin::HostName,extract,(XXX) { (XXX) -> XXX } -> Array<%any>,(String) -> Array<HostName>,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::HOST_NAME)
        yield parse(scanner.matched)
      end

      return nil
    end"
[s]Ronin::HostName,with_ips,(XXX) -> XXX,((Array<String> or String)) -> Array<HostName>,"def self.with_ips(ips)
      all('ip_addresses.address' => ips)
    end"
[s]Ronin::HostName,with_ports,(XXX) -> XXX,((Array<Number> or Number)) -> Array<HostName>,"def self.with_ports(numbers)
      all('ports.number' => numbers)
    end"
[s]Ronin::HostName,tld,(XXX) -> XXX,(String) -> Array<HostName>,"def self.tld(name)
      all(:address.like => ""%.#{name}"")
    end"
[s]Ronin::HostName,domain,(XXX) -> XXX,(String) -> Array<HostName>,"def self.domain(name)
      all(:address.like => ""#{name}.%"") |
      all(:address.like => ""%.#{name}.%"")
    end"
[s]Ronin::HostName,lookup,"([ to_s: () -> String ], ?XXX) -> Array<XXX>","((IPAddr or String), String) -> Array<HostName>","def self.lookup(addr,nameserver=nil)
      addr = addr.to_s
      ip = IPAddress.first_or_new(:address => addr)

      resolver = Resolv.resolver(nameserver)
      hosts = begin
                resolver.getnames(addr)
              rescue
                []
              end

      hosts.map! do |name|
        HostName.first_or_create(
          :address => name,
          :ip_addresses => [ip]
        )
      end

      return hosts
    end"
[s]Ronin::Installation,gems,() -> XXX,"() -> Hash<String, Gem::Specification>","def self.gems
      load! if @gems.empty?
      return @gems
    end"
[s]Ronin::Installation,paths,() -> XXX,() -> Set<String>,"def self.paths
      load! if @paths.empty?
      return @paths
    end"
[s]Ronin::Installation,libraries,() -> XXX,() -> Array<String>,"def self.libraries
      gems.keys
    end"
[s]Ronin::Installation,each_file,((Array<String> or File or [ to_str: () -> String ])) { (String) -> XXX } -> Enumerator<%any>,(String) -> Enumerator,"def self.each_file(pattern)
      return enum_for(__method__,pattern) unless block_given?

      # query the installed gems
      paths.each do |gem_path|
        slice_index = gem_path.length + 1

        Dir.glob(File.join(gem_path,pattern)) do |path|
          yield path[slice_index..-1]
        end
      end

      return nil
    end"
[s]Ronin::Installation,each_file_in,"(XXX, ?XXX) { ([ chomp: (String) -> XXX ]) -> XXX } -> Enumerator<%any>","(String, (String or Symbol)) -> Enumerator","def self.each_file_in(directory,ext=nil)
      return enum_for(__method__,directory,ext) unless block_given?

      directory = File.join(directory,File::SEPARATOR)

      pattern = File.join(directory,'**','*')
      pattern << "".#{ext}"" if ext

      each_file(pattern) do |path|
        yield path.sub(directory,'')
      end
    end"
[s]Ronin::Installation,load_gems!,() -> (false or true),() -> (false or true),"def self.load_gems!
      register_gem = lambda { |gem|
        @gems[gem.name] = gem
        @paths << gem.full_gem_path
      }

      ronin_gem = Gem.loaded_specs['ronin']

      # add the main ronin gem
      register_gem[ronin_gem]

      # add any dependent gems
      ronin_gem.dependent_gems.each do |gems|
        register_gem[gems[0]]
      end

      return true
    end"
