Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
[s]Ronin::Address,parse,Arg,address,String,String,E,Twin,"def self.parse(address)
      first_or_new(:address => address)
    end"
[s]Ronin::Address,parse,Ret,"",String,Address,T,Twin,"def self.parse(address)
      first_or_new(:address => address)
    end"
Ronin::Address,to_s,Ret,"",String,String,E,Constraints,"def to_s
      self.address.to_s
    end"
Ronin::Address,inspect,Ret,"",String,String,E,Constraints,"def inspect
      ""#<#{self.class}: #{self.address}>""
    end"
Ronin::Author,to_s,Ret,"",String,String,E,Constraints,"def to_s
      if self.email then ""#{self.name} <#{self.email}>""
      else               super
      end
    end"
[s]Ronin::Campaign,targeting,Arg,addr,String,(Array<String> or String),T,Twin,"def self.targeting(addr)
      all('addresses.address' => addr)
    end"
[s]Ronin::Campaign,targeting,Ret,"",Array<URL>,Array<Campaign>,P,Twin,"def self.targeting(addr)
      all('addresses.address' => addr)
    end"
[s]Ronin::Campaign,targeting_orgs,Arg,names,Array<:import>,(Array<String> or String),T,Constraints,"def self.targeting_orgs(names)
      all('organizations.name' => names)
    end"
[s]Ronin::Campaign,targeting_orgs,Ret,"",Array<URL>,Array<Campaign>,P,Twin,"def self.targeting_orgs(names)
      all('organizations.name' => names)
    end"
Ronin::Campaign,targets?,Arg,address,String,Address,T,Twin,"def targets?(address)
      self.addresses.include?(address)
    end"
Ronin::Campaign,targets?,Ret,"",(false or true),(false or true),E,Twin,"def targets?(address)
      self.addresses.include?(address)
    end"
Ronin::Campaign,target!,Arg,addr,String,String,E,Twin,"def target!(addr)
      unless (address = Address.first(:address => addr))
        raise(""unknown address #{addr.dump}"")
      end

      return Target.first_or_create(:campaign => self, :address => address)
    end"
Ronin::Campaign,target!,Ret,"",String,Target,T,Twin,"def target!(addr)
      unless (address = Address.first(:address => addr))
        raise(""unknown address #{addr.dump}"")
      end

      return Target.first_or_create(:campaign => self, :address => address)
    end"
[s]Ronin::Config,load,Arg,name,?String,(String or Symbol),E,Constraints,"def Config.load(name=nil)
      dir, file = if name then [CONFIG_DIR, ""#{name}.rb""]
                  else         [PATH, 'config.rb']
                  end

      path = File.expand_path(File.join(dir,file))
      require path if File.file?(path)
    end"
[s]Ronin::Config,tmp_dir,Arg,sub_path,?((Array<String> or File or [ to_str: () -> String ])),String,T,Constraints,"def Config.tmp_dir(sub_path=nil)
      if sub_path
        sub_path = File.expand_path(File.join('',sub_path))
        path     = File.join(TMP_DIR,sub_path)

        FileUtils.mkdir_p(path) unless File.exist?(path)
        return path
      end

      return TMP_DIR
    end"
[s]Ronin::Config,tmp_dir,Ret,"",String,String,E,Constraints,"def Config.tmp_dir(sub_path=nil)
      if sub_path
        sub_path = File.expand_path(File.join('',sub_path))
        path     = File.join(TMP_DIR,sub_path)

        FileUtils.mkdir_p(path) unless File.exist?(path)
        return path
      end

      return TMP_DIR
    end"
[s]Ronin::Credential,for_user,Arg,name,String,String,E,Twin,"def self.for_user(name)
      all('user_name.name' => name)
    end"
[s]Ronin::Credential,for_user,Ret,"",Array<URL>,Array<Credential>,P,Twin,"def self.for_user(name)
      all('user_name.name' => name)
    end"
[s]Ronin::Credential,with_password,Arg,password,Array<:import>,String,T,Constraints,"def self.with_password(password)
      all('password.clear_text' => password)
    end"
[s]Ronin::Credential,with_password,Ret,"",Array<URL>,Array<Credential>,P,Twin,"def self.with_password(password)
      all('password.clear_text' => password)
    end"
Ronin::Credential,user,Ret,"",String,String,E,Twin,"def user
      self.user_name.name if self.user_name
    end"
Ronin::Credential,clear_text,Ret,"",String,String,E,Twin,"def clear_text
      self.password.clear_text if self.password
    end"
Ronin::Credential,to_s,Ret,"",String,String,E,Constraints,"def to_s
      ""#{self.user_name}:#{self.password}""
    end"
[s]Ronin::EmailAddress,extract,Arg,text,String,String,E,Twin,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::EMAIL_ADDR)
        yield parse(scanner.matched)
      end

      return nil
    end"
[s]Ronin::EmailAddress,extract,Ret,"",Array<%any>,Array<EmailAddress>,P,Constraints,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::EMAIL_ADDR)
        yield parse(scanner.matched)
      end

      return nil
    end"
[s]Ronin::EmailAddress,with_hosts,Arg,names,Array<:import>,(Array<String> or String),T,Constraints,"def self.with_hosts(names)
      all('host_name.address' => names)
    end"
[s]Ronin::EmailAddress,with_hosts,Ret,"",Array<URL>,Array<EmailAddress>,P,Twin,"def self.with_hosts(names)
      all('host_name.address' => names)
    end"
[s]Ronin::EmailAddress,with_ips,Arg,ips,Array<:import>,(Array<String> or String),T,Constraints,"def self.with_ips(ips)
      all('ip_addresses.address' => ips)
    end"
[s]Ronin::EmailAddress,with_ips,Ret,"",Array<URL>,Array<EmailAddress>,P,Twin,"def self.with_ips(ips)
      all('ip_addresses.address' => ips)
    end"
[s]Ronin::EmailAddress,with_users,Arg,names,Array<:import>,(Array<String> or String),T,Constraints,"def self.with_users(names)
      all('user_name.name' => names)
    end"
[s]Ronin::EmailAddress,with_users,Ret,"",Array<URL>,Array<EmailAddress>,P,Twin,"def self.with_users(names)
      all('user_name.name' => names)
    end"
[s]Ronin::EmailAddress,parse,Arg,email,String,String,E,Twin,"def self.parse(email)
      user, host = email.split('@',2)

      user.strip!

      if user.empty?
        raise(""email address #{email.dump} must have a user name"")
      end

      host.strip!

      if host.empty?
        raise(""email address #{email.dump} must have a host name"")
      end

      return first_or_new(
        :user_name => UserName.first_or_new(:name => user),
        :host_name => HostName.first_or_new(:address => host)
      )
    end"
[s]Ronin::EmailAddress,parse,Ret,"",(false or true),EmailAddress,T,Twin,"def self.parse(email)
      user, host = email.split('@',2)

      user.strip!

      if user.empty?
        raise(""email address #{email.dump} must have a user name"")
      end

      host.strip!

      if host.empty?
        raise(""email address #{email.dump} must have a host name"")
      end

      return first_or_new(
        :user_name => UserName.first_or_new(:name => user),
        :host_name => HostName.first_or_new(:address => host)
      )
    end"
[s]Ronin::EmailAddress,from,Arg,email,String,[ to_s: () -> String ],T,Twin,"def self.from(email)
      email = case email
              when URI::MailTo then email.to
              else                  email.to_s
              end

      return parse(email)
    end"
[s]Ronin::EmailAddress,from,Ret,"",(false or true),EmailAddress,T,Constraints,"def self.from(email)
      email = case email
              when URI::MailTo then email.to
              else                  email.to_s
              end

      return parse(email)
    end"
Ronin::EmailAddress,user,Ret,"",String,String,E,Twin,"def user
      self.user_name.name if self.user_name
    end"
Ronin::EmailAddress,host,Ret,"",String,String,E,Twin,"def host
      self.host_name.address if self.host_name
    end"
Ronin::EmailAddress,to_s,Ret,"",String,String,E,Constraints,"def to_s
      ""#{self.user_name}@#{self.host_name}""
    end"
Ronin::EmailAddress,inspect,Ret,"",String,String,E,Constraints,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
[s]Ronin::HostName,extract,Arg,text,String,String,E,Twin,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::HOST_NAME)
        yield parse(scanner.matched)
      end

      return nil
    end"
[s]Ronin::HostName,extract,Ret,"",Array<%any>,Array<HostName>,P,Constraints,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::HOST_NAME)
        yield parse(scanner.matched)
      end

      return nil
    end"
